brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
Toyota,Camry 2.4A ,59800,12320.0,15.1,110348.0,2362.0,123.0,3,2007-11-19,2027-11-01,4.8,True
Toyota,Camry 2.0A ,59800,9740.0,13.9,141813.0,1998.0,108.0,5,2009-03-02,2029-02-01,6.1,True
Toyota,Camry 2.4A ,55800,9380.0,14.1,,2362.0,123.0,2,2008-12-22,2028-12-01,5.9,True
Audi,A3 Sedan Mild Hybrid 1.5A TFSI S-tronic,151500,16610.0,1.4,10000.0,1498.0,110.0,1,2021-08-20,2031-08-20,8.6,False
Mazda,6 2.0A Executive,73800,14380.0,5.7,74000.0,1998.0,121.0,1,2017-04-28,2027-04-28,4.3,False
Lexus,IS Hybrid IS300h Executive,87800,19110.0,6.6,95000.0,2494.0,164.0,2,2016-06-03,2026-06-03,3.4,False
Mercedes-Benz,S-Class S320L,202800,31260.0,5.7,87000.0,2996.0,200.0,2,2017-05-17,2027-05-17,4.3,False
BMW,3 Series 320i Highline,155800,18680.0,3.2,29000.0,1998.0,135.0,2,2019-10-29,2029-10-28,6.8,False
Mazda,6 2.0A Executive,52800,14710.0,7.1,,1998.0,121.0,2,2015-11-30,2025-11-29,2.9,False
BMW,3 Series 318i Highline Sportline,165777,17850.0,2.1,47000.0,1998.0,115.0,1,2020-11-30,2030-11-30,7.9,False
Volkswagen,Passat 1.8A TFSI,94777,14530.0,4.5,92000.0,1798.0,132.0,1,2018-07-23,2028-07-22,5.5,False
Audi,A3 Sedan 1.0A TFSI S-tronic,71777,15200.0,5.8,103000.0,999.0,85.0,1,2017-03-21,2027-03-21,4.2,False
Audi,A4 1.4A TFSI S-tronic,75888,17180.0,6.4,74260.0,1395.0,110.0,1,2016-08-31,2026-08-31,3.6,False
Jaguar,XE Diesel 2.0A Prestige,83800,14840.0,5.4,126000.0,1999.0,132.0,2,2017-07-31,2027-07-31,4.6,False
Mercedes-Benz,C-Class C180 Avantgarde,79800,21850.0,7.2,83000.0,1595.0,115.0,2,2015-11-06,2025-11-05,2.8,False
Mercedes-Benz,C-Class C180K ,82800,9970.0,11.4,140000.0,1597.0,115.0,4,2011-08-02,2031-04-01,8.2,True
Mercedes-Benz,C-Class C180 Avantgarde,95555,19820.0,6.1,102630.0,1595.0,115.0,2,2016-12-02,2026-12-02,3.9,False
Mercedes-Benz,CLA-Class CLA180,59800,25400.0,8.0,63818.0,1595.0,90.0,1,2015-01-02,2025-01-01,2.0,False
BMW,5 Series 520i Luxury,193800,20700.0,2.3,45575.0,1998.0,135.0,1,2020-09-25,2030-09-25,7.7,False
Audi,A3 Sedan 1.0A TFSI S-tronic,83888,15790.0,5.2,55660.0,999.0,85.0,2,2017-11-07,2027-11-07,4.8,False
Mercedes-Benz,C-Class C180 CGI Avantgarde ,108800,10870.0,10.0,140000.0,1595.0,115.0,2,2013-01-03,2033-01-02,10.0,True
BMW,4 Series 435i Gran Coupe M-Sport Sunroof,116800,29390.0,7.3,98000.0,2979.0,225.0,3,2015-09-28,2025-09-27,2.7,False
Volvo,S60 T4 R-Design,145800,18310.0,3.2,35000.0,1969.0,140.0,1,2019-10-31,2029-10-30,6.8,False
Mercedes-Benz,CLA-Class CLA180 Urban,97800,16070.0,4.9,90000.0,1595.0,90.0,3,2018-02-20,2028-02-20,5.1,False
BMW,5 Series 528i,78888,23370.0,7.6,170000.0,1997.0,180.0,3,2015-06-23,2025-06-22,2.4,False
Audi,A3 Sedan 1.4A TFSI Attraction,67800,15660.0,6.2,104750.0,1395.0,92.0,1,2016-10-24,2026-10-24,3.8,False
Mercedes-Benz,S-Class S350L Sunroof ,59800,15110.0,16.0,110000.0,3498.0,200.0,2,2006-12-27,2026-12-01,3.9,True
BMW,5 Series 520i,81800,18940.0,6.9,87000.0,1997.0,135.0,1,2016-02-26,2026-02-25,3.1,False
Mercedes-Benz,C-Class C180 Avantgarde,159800,18620.0,2.5,55000.0,1497.0,115.0,1,2020-07-20,2030-07-20,7.5,False
Mercedes-Benz,A-Class Saloon A180 Progressive,162800,16400.0,1.1,9505.0,1332.0,96.0,1,2021-11-22,2031-11-22,8.9,False
BMW,8 Series 840i Gran Coupe M-Sport,379800,38760.0,2.0,,2998.0,250.0,1,2021-01-04,2031-01-04,8.0,False
BMW,5 Series 520i M Sport,198888,22650.0,3.1,48728.0,1998.0,135.0,1,2019-12-13,2029-12-12,6.9,False
Mercedes-Benz,CLA-Class CLA180 Progressive,163500,18360.0,2.1,38888.0,1332.0,96.0,1,2020-11-27,2030-11-27,7.9,False
Volkswagen,Passat 1.8A TFSI,122988,15810.0,3.2,59000.0,1798.0,132.0,1,2019-10-15,2029-10-14,6.8,False
BMW,3 Series 320i Highline,176800,19420.0,2.4,30000.0,1998.0,135.0,1,2020-08-31,2030-08-31,7.6,False
Mercedes-Benz,E-Class E200 AMG Edition E,99800,20360.0,6.7,83000.0,1991.0,135.0,2,2016-04-28,2026-04-28,3.3,False
Mercedes-Benz,E-Class E300e Plug-in Hybrid AMG Line,269888,25790.0,0.7,3500.0,1991.0,235.0,1,2022-04-21,2032-04-20,9.3,False
Mercedes-Benz,CLA-Class CLA200 AMG Line Premium,199888,19700.0,1.0,9000.0,1332.0,120.0,1,2022-01-11,2032-01-11,9.0,False
Volkswagen,Passat 2.0A TSI Business,152988,15930.0,1.4,18000.0,1984.0,140.0,1,2021-08-11,2031-08-11,8.6,False
Lexus,IS250 ,59800,10930.0,14.4,108000.0,2500.0,153.0,3,2008-08-26,2028-06-01,5.4,True
Toyota,Camry 2.0A,60800,14880.0,6.9,47366.0,1998.0,123.0,2,2016-02-01,2026-01-31,3.1,False
Audi,A3 Sedan 1.0A TFSI S-tronic,122800,14490.0,2.3,33000.0,999.0,85.0,1,2020-09-14,2030-09-14,7.7,False
Mercedes-Benz,E-Class E250 CGI Coupe ,100888,12520.0,11.7,130000.0,1796.0,150.0,6,2011-05-10,2031-01-01,8.0,True
Maserati,Ghibli S 3.0A,194488,33080.0,6.2,60000.0,2979.0,302.0,2,2016-10-31,2026-10-31,3.8,False
BMW,2 Series 216i Gran Coupe Sport,164888,15910.0,0.4,,1499.0,80.0,1,2022-08-19,2032-08-18,9.6,False
Toyota,Camry 2.0A ,44750,12300.0,16.3,105000.0,1998.0,108.0,3,2006-09-22,2026-08-01,3.6,True
Mercedes-Benz,CLA-Class CLA200 AMG Line,190888,19120.0,1.2,8300.0,1332.0,120.0,1,2021-11-05,2031-11-05,8.8,False
BMW,5 Series 520i ,59888,12000.0,25.0,198000.0,1991.0,,,1998-01-07,2028-01-01,5.0,True
Mercedes-Benz,E-Class E250 CGI ,86100,12670.0,13.2,120000.0,1796.0,150.0,6,2009-10-28,2029-10-01,6.7,True
BMW,5 Series 525i XL ,65677,10730.0,13.9,135000.0,2497.0,160.0,6,2009-02-23,2029-02-01,6.1,True
Lexus,IS Turbo IS200t Executive,111800,19330.0,5.4,136000.0,1998.0,180.0,1,2017-08-18,2027-08-18,4.6,False
Audi,A4 1.4A TFSI S-tronic,76800,17690.0,6.4,,1395.0,110.0,3,2016-08-12,2026-08-12,3.6,False
Toyota,Camry 2.0A,56800,15720.0,7.4,50000.0,1998.0,123.0,3,2015-09-01,2025-08-31,2.6,False
BMW,5 Series 523i ,92288,11340.0,11.8,130000.0,2497.0,150.0,2,2011-03-11,2031-02-01,8.1,True
Lexus,GS350 Luxury,146800,25620.0,6.1,80000.0,3456.0,232.0,1,2016-12-21,2026-12-21,3.9,False
BMW,5 Series 530i Luxury,131800,23030.0,5.6,79000.0,1998.0,185.0,4,2017-05-30,2027-05-30,4.4,False
Mercedes-Benz,C-Class C180 Avantgarde Night Edition,178000,18540.0,1.5,18000.0,1497.0,115.0,1,2021-06-30,2031-06-30,8.5,False
Volvo,S60 Diesel D2,33500,14970.0,8.4,140000.0,1560.0,84.0,2,2014-08-29,2024-08-28,1.6,False
Mercedes-Benz,A-Class Saloon A180 Progressive,147800,16210.0,2.0,28000.0,1332.0,96.0,1,2021-01-07,2031-01-07,8.0,False
Mercedes-Benz,C-Class C250 Avantgarde,102800,22260.0,6.5,53000.0,1991.0,155.0,1,2016-07-04,2026-07-04,3.5,False
BMW,5 Series 530e Plug-in Hybrid,245888,25710.0,1.9,22000.0,1998.0,215.0,2,2021-02-26,2031-02-26,8.1,False
Lexus,IS Turbo IS200t Executive,104000,21040.0,6.1,64000.0,1998.0,180.0,1,2016-11-30,2026-11-30,3.9,False
BMW,2 Series 218i Gran Coupe Luxury,145888,15820.0,2.1,13470.0,1499.0,103.0,1,2020-11-28,2030-11-28,7.9,False
BMW,3 Series 318i Highline Sport,177777,17720.0,1.4,15255.0,1998.0,115.0,1,2021-08-20,2031-08-20,8.6,False
BMW,3 Series 318i M-Sport Shadow Edition,119800,17300.0,4.4,53700.0,1499.0,100.0,1,2018-08-31,2028-08-30,5.6,False
Audi,A3 Sedan 1.4A TFSI Ambiente,59500,15990.0,6.7,84200.0,1395.0,92.0,3,2016-04-29,2026-04-29,3.3,False
BMW,4 Series 420i Gran Coupe Sunroof,73800,22000.0,7.6,103699.0,1997.0,135.0,2,2015-06-19,2025-06-18,2.4,False
Audi,A3 Sedan 1.0A TFSI S-tronic,72800,15910.0,6.0,108000.0,999.0,85.0,2,2017-01-20,2027-01-20,4.0,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,179800,18360.0,1.3,9000.0,1332.0,96.0,1,2021-09-27,2031-09-27,8.7,False
Mercedes-Benz,S-Class S400L,133800,29900.0,8.0,128000.0,2996.0,245.0,1,2015-01-20,2025-01-19,2.0,False
