name,price,depre,mileage,eng_cap,reg_date,power,owners 
Toyota Camry 2.4A (COE till 11/2027),"59,800","12,320","110,348","2,362",19-Nov-2007,123.0,"
                                                3                                            "
Toyota Camry 2.0A (COE till 02/2029),"59,800","9,740","141,813","1,998",02-Mar-2009,108.0,"
                                                5                                            "
Toyota Camry 2.4A (COE till 12/2028),"55,800","9,380",NA,"2,362",22-Dec-2008,123.0,"
                                                2                                            "
Audi A3 Sedan Mild Hybrid 1.5A TFSI S-tronic,"151,500","16,610","10,000","1,498",20-Aug-2021,110.0,"
                                                1                                            "
Mazda 6 2.0A Executive,"73,800","14,380","74,000","1,998",28-Apr-2017,121.0,"
                                                1                                            "
Lexus IS Hybrid IS300h Executive,"87,800","19,110","95,000","2,494",03-Jun-2016,164.0,"
                                                2                                            "
Mercedes-Benz S-Class S320L,"202,800","31,260","87,000","2,996",17-May-2017,200.0,"
                                                2                                            "
BMW 3 Series 320i Highline,"155,800","18,680","29,000","1,998",29-Oct-2019,135.0,"
                                                2                                            "
Mazda 6 2.0A Executive,"52,800","14,710",NA,"1,998",30-Nov-2015,121.0,"
                                                2                                            "
BMW 3 Series 318i Highline Sportline,"165,777","17,850","47,000","1,998",30-Nov-2020,115.0,"
                                                1                                            "
Volkswagen Passat 1.8A TFSI,"94,777","14,530","92,000","1,798",23-Jul-2018,132.0,"
                                                1                                            "
Audi A3 Sedan 1.0A TFSI S-tronic,"71,777","15,200","103,000",999,21-Mar-2017,85.0,"
                                                1                                            "
Audi A4 1.4A TFSI S-tronic,"75,888","17,180","74,260","1,395",31-Aug-2016,110.0,"
                                                1                                            "
Jaguar XE Diesel 2.0A Prestige,"83,800","14,840","126,000","1,999",31-Jul-2017,132.0,"
                                                2                                            "
Audi S8 4.0A TFSI Quattro,"69,800",NA,"123,200","3,993",30-Jan-2013,382.0,"
                                                4                                            "
Mercedes-Benz C-Class C180 Avantgarde,"79,800","21,850","83,000","1,595",06-Nov-2015,115.0,"
                                                2                                            "
Mercedes-Benz C-Class C180K (COE till 04/2031),"82,800","9,970","140,000","1,597",02-Aug-2011,115.0,"
                                                4                                            "
Mercedes-Benz C-Class C180 Avantgarde,"95,555","19,820","102,630","1,595",02-Dec-2016,115.0,"
                                                2                                            "
Mercedes-Benz CLA-Class CLA180,"59,800","25,400","63,818","1,595",02-Jan-2015,90.0,"
                                                1                                            "
BMW 5 Series 520i Luxury,"193,800","20,700","45,575","1,998",25-Sep-2020,135.0,"
                                                1                                            "
Audi A3 Sedan 1.0A TFSI S-tronic,"83,888","15,790","55,660",999,07-Nov-2017,85.0,"
                                                2                                            "
Mercedes-Benz C-Class C180 CGI Avantgarde (New 10-yr COE),"108,800","10,870","140,000","1,595",03-Jan-2013,115.0,"
                                                2                                            "
BMW 4 Series 435i Gran Coupe M-Sport Sunroof,"116,800","29,390","98,000","2,979",28-Sep-2015,225.0,"
                                                3                                            "
Volvo S60 T4 R-Design,"145,800","18,310","35,000","1,969",31-Oct-2019,140.0,"
                                                1                                            "
Mercedes-Benz CLA-Class CLA180 Urban,"97,800","16,070","90,000","1,595",20-Feb-2018,90.0,"
                                                3                                            "
BMW 5 Series 528i,"78,888","23,370","170,000","1,997",23-Jun-2015,180.0,"
                                                3                                            "
Audi A3 Sedan 1.4A TFSI Attraction,"67,800","15,660","104,750","1,395",24-Oct-2016,92.0,"
                                                1                                            "
Mercedes-Benz S-Class S350L Sunroof (COE till 12/2026),"59,800","15,110","110,000","3,498",27-Dec-2006,200.0,"
                                                2                                            "
BMW 5 Series 520i,"81,800","18,940","87,000","1,997",26-Feb-2016,135.0,"
                                                1                                            "
Mercedes-Benz C-Class C180 Avantgarde,"159,800","18,620","55,000","1,497",20-Jul-2020,115.0,"
                                                1                                            "
Mercedes-Benz A-Class Saloon A180 Progressive,"162,800","16,400","9,505","1,332",22-Nov-2021,96.0,"
                                                1                                            "
BMW 8 Series 840i Gran Coupe M-Sport,"379,800","38,760",NA,"2,998",04-Jan-2021,250.0,"
                                                1                                            "
BMW 5 Series 520i M Sport,"198,888","22,650","48,728","1,998",13-Dec-2019,135.0,"
                                                1                                            "
Mercedes-Benz CLA-Class CLA180 Progressive,"163,500","18,360","38,888","1,332",27-Nov-2020,96.0,"
                                                1                                            "
Volkswagen Passat 1.8A TFSI,"122,988","15,810","59,000","1,798",15-Oct-2019,132.0,"
                                                1                                            "
BMW 3 Series 320i Highline,"176,800","19,420","30,000","1,998",31-Aug-2020,135.0,"
                                                1                                            "
Mercedes-Benz E-Class E200 AMG Edition E,"99,800","20,360","83,000","1,991",28-Apr-2016,135.0,"
                                                2                                            "
Mercedes-Benz E-Class E300e Plug-in Hybrid AMG Line,"269,888","25,790","3,500","1,991",21-Apr-2022,235.0,"
                                                1                                            "
Mercedes-Benz CLA-Class CLA200 AMG Line Premium,"199,888","19,700","9,000","1,332",11-Jan-2022,120.0,"
                                                1                                            "
Volkswagen Passat 2.0A TSI Business,"152,988","15,930","18,000","1,984",11-Aug-2021,140.0,"
                                                1                                            "
Lexus IS250 (COE till 06/2028),"59,800","10,930","108,000","2,500",26-Aug-2008,153.0,"
                                                3                                            "
Toyota Camry 2.5A,"26,800",NA,"89,100","2,494",06-Jun-2013,133.0,"
                                                1                                            "
Toyota Camry 2.0A,"60,800","14,880","47,366","1,998",01-Feb-2016,123.0,"
                                                2                                            "
Audi A3 Sedan 1.0A TFSI S-tronic,"122,800","14,490","33,000",999,14-Sep-2020,85.0,"
                                                1                                            "
Mercedes-Benz E-Class E250 CGI Coupe (COE till 01/2031),"100,888","12,520","130,000","1,796",10-May-2011,150.0,"
                                                6                                            "
Maserati Ghibli S 3.0A,"194,488","33,080","60,000","2,979",31-Oct-2016,302.0,"
                                                2                                            "
BMW 2 Series 216i Gran Coupe Sport,"164,888","15,910",NA,"1,499",19-Aug-2022,80.0,"
                                                1                                            "
Toyota Camry 2.0A (COE till 08/2026),"44,750","12,300","105,000","1,998",22-Sep-2006,108.0,"
                                                3                                            "
Mercedes-Benz CLA-Class CLA200 AMG Line,"190,888","19,120","8,300","1,332",05-Nov-2021,120.0,"
                                                1                                            "
Honda Accord 2.0A (COE till 06/2023),"8,200",NA,"189,800","1,997",25-Jun-2008,115.0,"
                                                5                                            "
BMW 5 Series 520i (COE till 01/2028),"59,888","12,000","198,000","1,991",07-Jan-1998,NA, 
Mercedes-Benz E-Class E250 CGI (COE till 10/2029),"86,100","12,670","120,000","1,796",28-Oct-2009,150.0,"
                                                6                                            "
BMW 5 Series 525i XL (COE till 02/2029),"65,677","10,730","135,000","2,497",23-Feb-2009,160.0,"
                                                6                                            "
Lexus IS Turbo IS200t Executive,"111,800","19,330","136,000","1,998",18-Aug-2017,180.0,"
                                                1                                            "
Audi A4 1.4A TFSI S-tronic,"76,800","17,690",NA,"1,395",12-Aug-2016,110.0,"
                                                3                                            "
Toyota Camry 2.0A,"56,800","15,720","50,000","1,998",01-Sep-2015,123.0,"
                                                3                                            "
BMW 5 Series 523i (COE till 02/2031),"92,288","11,340","130,000","2,497",11-Mar-2011,150.0,"
                                                2                                            "
Lexus GS350 Luxury,"146,800","25,620","80,000","3,456",21-Dec-2016,232.0,"
                                                1                                            "
BMW 5 Series 530i Luxury,"131,800","23,030","79,000","1,998",30-May-2017,185.0,"
                                                4                                            "
Mercedes-Benz C-Class C180 Avantgarde Night Edition,"178,000","18,540","18,000","1,497",30-Jun-2021,115.0,"
                                                1                                            "
Volvo S60 Diesel D2,"33,500","14,970","140,000","1,560",29-Aug-2014,84.0,"
                                                2                                            "
Mercedes-Benz A-Class Saloon A180 Progressive,"147,800","16,210","28,000","1,332",07-Jan-2021,96.0,"
                                                1                                            "
Mercedes-Benz C-Class C250 Avantgarde,"102,800","22,260","53,000","1,991",04-Jul-2016,155.0,"
                                                1                                            "
